"name","artist","start time","end time","playtime","deck","","song","bpm","key","year","genre"
"Nuggets (LP Version)","Mura Masa (feat Bonzai)","8:01:47 PM","8:03:32 PM","00:01:45","1","","Nuggets (LP Version)","113","Cm","2017","Electronic"
"Wood Beez","Scritti Politti","8:02:27 PM","8:05:33 PM","00:03:06","2","","Wood Beez","113","Em","1985","Alternative"
"Square Biz (Intro Clean)","Teena Marie","8:03:41 PM","8:06:33 PM","00:02:52","1","","Square Biz (Intro Clean)","113","Em","1981","Pop"
"DO IT KAYTRA DJ FRIENDLY REWORK","The Gaff","8:05:33 PM","8:05:52 PM","00:00:19","2","","DO IT KAYTRA DJ FRIENDLY REWORK","113","Fm","2020",""
"The Champ (Intro Clean)","The Mohawks","8:05:52 PM","8:07:17 PM","00:01:25","2","","The Champ (Intro Clean)","113","Cm","1968","Funk"
"The Globe (SE) (Phase Edit)","Big Audio Dynamite","8:06:40 PM","8:08:41 PM","00:02:01","1","","The Globe (SE) (Phase Edit)","114","Bm","2013","90s"
"Feels The Breaks (Steph Seroussi Smash-Up) [Intro Dirty]","Calvin Harris Vs. Kurtis Blow","8:07:17 PM","8:07:51 PM","00:00:34","2","","Feels The Breaks (Steph Seroussi Smash-Up) [Intro Dirty]","114","Bm","2017","Other"
"Everything Counts (Marty Mar Edit)","Depeche Mode","8:07:55 PM","8:08:11 PM","00:00:16","2","","Everything Counts (Marty Mar Edit)","114","Am","","80s"
"Everything Counts (Extended Version)","Depeche Mode","8:08:11 PM","8:10:52 PM","00:02:41","2","","Everything Counts (Extended Version)","114","Am","1983","Other"
"H*** In This House (f r a n c h i s e. Edit)","Franchise","8:08:44 PM","8:09:01 PM","00:00:17","1","","H*** In This House (f r a n c h i s e. Edit)","114","Dbm","2020",""
"GET DOWN (NICK BIKE QH)","GENE CHANDLER","8:09:01 PM","8:09:19 PM","00:00:18","1","","GET DOWN (NICK BIKE QH)","114","Am","",""
"Paranoid (Intro Clean)","Garbage","8:09:53 PM","8:11:22 PM","00:01:29","1","","Paranoid (Intro Clean)","114","Gm","","Rock"
"Wet My Whistle (Intro Clean)","Midnight Star","8:10:52 PM","8:12:56 PM","00:02:04","2","","Wet My Whistle (Intro Clean)","114","Gm","1983","R&B"
"Wet My Whistle (Intro Clean)","Midnight Star","8:11:23 PM","8:11:32 PM","00:00:09","1","","Wet My Whistle (Intro Clean)","114","Gm","1983","R&B"
"Monie in the Middle (CLEAN) (MM Edit)","Monie Love","8:11:32 PM","8:13:19 PM","00:01:47","1","","Monie in the Middle (CLEAN) (MM Edit)","114","Cm","1990","90s Hip Hop"
"Money's Too Tight (To Mention) (SE) (Marty Mar Edit)","Simply Red","8:12:56 PM","8:13:38 PM","00:00:42","2","","Money's Too Tight (To Mention) (SE) (Marty Mar Edit)","114","Em","","80s"
"He's The Greatest Dancer (Clean) (Short Edit)","Sister Sledge","8:13:19 PM","8:14:38 PM","00:01:19","1","","He's The Greatest Dancer (Clean) (Short Edit)","114","Gm","","Disco"
"Everyday People (Clean) (Short Edit)","Sly & The Family Stone","8:13:38 PM","8:15:06 PM","00:01:28","2","","Everyday People (Clean) (Short Edit)","114","Gm","1969","Blues"
"Emergency (Intro Clean)","The Whispers","8:14:38 PM","8:16:17 PM","00:01:39","1","","Emergency (Intro Clean)","114","Cm","1981","R&B"
"Grab Somebody featuring 1-O.A.K. & YMTK","Trackademicks","8:15:06 PM","8:15:16 PM","00:00:10","2","","Grab Somebody featuring 1-O.A.K. & YMTK","114","Fm","2019",""
"Grab Somebody featuring 1-O.A.K. & YMTK","Trackademicks","8:15:16 PM","8:17:50 PM","00:02:34","2","","Grab Somebody featuring 1-O.A.K. & YMTK","114","Fm","2019",""
"Phil The Air","Austin Millz","8:16:28 PM","8:18:39 PM","00:02:11","1","","Phil The Air","115","Fm","","Electronica"
"A Roller Skating Jam Named Saturdays (Intro Clean)","De La Soul ft Q-Tip","8:17:50 PM","8:19:44 PM","00:01:54","2","","A Roller Skating Jam Named Saturdays (Intro Clean)","115","G#m","1991","Hip Hop"
"Don't Bring Me Down (MCB Edit)","Electric Light Orchestra","8:18:39 PM","8:19:03 PM","00:00:24","1","","Don't Bring Me Down (MCB Edit)","115","Am","","Other"
"I'm In Love (SE) (Christyle Edit)","Evelyn King","8:19:03 PM","8:21:20 PM","00:02:17","1","","I'm In Love (SE) (Christyle Edit)","115","Cm","","80s"
"Deep Knees","Funkadelica","8:19:44 PM","8:22:08 PM","00:02:24","2","","Deep Knees","115","C","2012",""
"New Sensation (Marty Mar/Phase Redrum)","Inxs","8:21:20 PM","8:23:21 PM","00:02:01","1","","New Sensation (Marty Mar/Phase Redrum)","115","Em","","80s"
"Make Me Feel (PopRoXxX Intro Edit)","Janelle Monae","8:22:11 PM","8:24:22 PM","00:02:11","2","","Make Me Feel (PopRoXxX Intro Edit)","115","Ebm","","Other"
"Rio","Magic Flowers","8:23:21 PM","8:25:23 PM","00:02:02","1","","Rio","115","Dm","2020",""
