name,artist,start time,end time,playtime,deck,,bpm,key,year,genre,bitrate,song,album
Groovejet (If This Ain't Love) (Mastermix Edit),Spiller (feat Sophie Ellis Bextor),7:06:39 PM,7:13:07 PM,0:06:28,1,,123,Am,,Other,,Groovejet (If This Ain't Love) (Mastermix Edit),
Little L (Intro Clean),Jamiroquai,7:08:50 PM,7:16:35 PM,0:07:45,2,,122,Ebm,1999,Pop,,Little L (Intro Clean),
QPushin' On - Les Bisous Remix,Quantic Soul Orchestra,7:13:07 PM,7:20:43 PM,0:07:36,1,,122,Em,2020,House,,QPushin' On - Les Bisous Remix,
A Bit Patchy VIP,Sammy Porter,7:17:07 PM,7:24:07 PM,0:07:00,2,,122,Bm,,Other,,A Bit Patchy VIP,
One Right Now (Ultimix Part 2 Dirty),Post Malone x The Weeknd,7:20:43 PM,7:27:32 PM,0:06:49,1,,122,Db,2021,Pop,,One Right Now (Ultimix Part 2 Dirty),Ultimix 296
Poison - max9k & Borae Remix,Bell Biv DeVoe,7:24:07 PM,7:28:50 PM,0:04:43,2,,122,F#m,2020,House,,Poison - max9k & Borae Remix,
Love Sweet Sound (Mark Knight & Funkagenda Remix),Groove Armada,7:27:42 PM,7:32:00 PM,0:04:18,1,,123,Cm,,dance,,Love Sweet Sound (Mark Knight & Funkagenda Remix),Mark Knight & Funkagenda Remix
Un Canto a Mi Tierra - Proppa Remix,Quantic And His Combo Barbaro,7:29:23 PM,7:34:47 PM,0:05:24,2,,123,F#m,2021,House,,Un Canto a Mi Tierra - Proppa Remix,
Do It Like Me (Icy Feet) (Intro),TCTS ft. Sage The Gemini & Kelis,7:32:00 PM,7:37:25 PM,0:05:25,1,,123,Fm,,Other,,Do It Like Me (Icy Feet) (Intro),
679 (Kue Remix),Fetty Wap (feat Remy Boyz),7:36:00 PM,7:40:43 PM,0:04:43,2,,124,Em,,Blues,,679 (Kue Remix),
Losing Touch,Franc Moody,7:37:25 PM,7:42:31 PM,0:05:06,1,,124,Cm,2021,Electronic,,Losing Touch,Losing Touch - Single
Tuesday - Chi Duly Remix (Dirty),ILoveMakonnen ft. Drake,7:41:06 PM,7:47:34 PM,0:06:28,2,,124,C,,,,Tuesday - Chi Duly Remix (Dirty),
Make Me Feel (Kaskade Sunsoaked Remix),Janelle Monae,7:42:31 PM,7:51:00 PM,0:08:29,1,,124,Ebm,2018,Dance,,Make Me Feel (Kaskade Sunsoaked Remix),POOL's Daily Boot
House Work (Original Mix),Jax Jones feat. Mike Dunn & MNEK,7:47:34 PM,7:54:09 PM,0:06:35,2,,124,Gm,2016,Other,,House Work (Original Mix),XMiX Digital Single
Sunday Shoutin',Johnny Corporate,7:51:22 PM,7:55:31 PM,0:04:09,1,,124,Ebm,2000,Dance,,Sunday Shoutin',Sunday Shoutin'
Hypnotized (Original Mix),Bleu Clair,7:54:20 PM,7:58:12 PM,0:03:52,2,,124,Fm,10/23/2020,Bass House,,Hypnotized (Original Mix),Hypnotized EP
Music 4 The People - Myles Club Edit,Lucati,7:56:42 PM,8:01:33 PM,0:04:51,1,,124,Abm,2020,House,,Music 4 The People - Myles Club Edit,
Work It (MNX Remix),Missy Elliott,7:58:58 PM,8:04:39 PM,0:05:41,2,,124,Am,2021,Dance,,Work It (MNX Remix),XMiX Digital Single
Keep It (Original Mix),Truth x Lies,8:01:33 PM,8:08:10 PM,0:06:37,1,,124,Fm,12/13/2019,Tech House,,Keep It (Original Mix),"The Banquet, Vol. 6"
Give Me Luv (Original Mix),Alcatraz,8:04:39 PM,8:10:37 PM,0:05:58,2,,125,Gm,,House,,Give Me Luv (Original Mix),Giv Me Luv
Simple (Original Mix),Simian Mobile Disco,8:08:52 PM,8:15:11 PM,0:06:19,1,,125,C#m,,Other,,Simple (Original Mix),
Move Your Body (Elevation) - Freejak Remix,Xpansions,8:10:37 PM,8:17:34 PM,0:06:57,2,,125,Am,,Other,,Move Your Body (Elevation) - Freejak Remix,
Yo Yo Get Funky - Tim Healey & Deekline Remix,DJ Fast Eddie,8:15:11 PM,8:19:19 PM,0:04:08,1,,126,C#m,2009,Electro House,,Yo Yo Get Funky - Tim Healey & Deekline Remix,Yo Yo Get Funky (2009 Remixes)
My Feeling - Charlie Lane Remix,Junior Jack,8:17:57 PM,8:22:45 PM,0:04:48,2,,126,C#m,2019,House,,My Feeling - Charlie Lane Remix,
Speed Up (X-Mix),Funkerman,8:19:19 PM,8:24:48 PM,0:05:29,1,,127,Fm,,Other,,Speed Up (X-Mix),X-Mix Dance 107
Sofi Needs A Ladder,Deadmau5,8:22:45 PM,8:27:02 PM,0:04:17,2,,128,Cm,,Other,,Sofi Needs A Ladder,
I Called U (Kamayo Edit),Lil Louis,8:26:04 PM,8:28:26 PM,0:02:22,1,,128,Bbm,,Other,,I Called U (Kamayo Edit),
I'm Ready (Hot Tracks),Kano,8:27:02 PM,8:31:28 PM,0:04:26,2,,126,Cm,,Other,,I'm Ready (Hot Tracks),
Chillin' (Original Extended Mix),Modjo,8:28:26 PM,8:33:35 PM,0:05:09,1,,125,Ebm,,Other,,Chillin' (Original Extended Mix),Nu Dance Traxx 52
Matador (MCB Edit),Solardo,8:31:28 PM,8:35:55 PM,0:04:27,2,,125,Ebm,2017,House,,Matador (MCB Edit),
Addictive,STIKMATIK,8:33:35 PM,8:39:49 PM,0:06:14,1,,125,Cm,2021,House,,Addictive,
Tokyo Drift - Sam Collins Remix,Teriyaki Boyz,8:35:55 PM,8:43:09 PM,0:07:14,2,,125,Ebm,2021,House,,Tokyo Drift - Sam Collins Remix,
Touch Your Toes (X-Mix),Armand Van Helden,8:39:57 PM,8:45:06 PM,0:05:09,1,,126,Em,,Other,,Touch Your Toes (X-Mix),X-Mix Dance 94
Someone Who Needs Me (Kryder Remix MCB Edit),Bob Sinclar,8:43:56 PM,8:47:05 PM,0:03:09,2,,126,Fm,2017,Other,,Someone Who Needs Me (Kryder Remix MCB Edit),
Yeah Yeah - Rogerson Remix,Bodyrox,8:45:06 PM,8:49:23 PM,0:04:17,1,,126,Cm,2021,House,,Yeah Yeah - Rogerson Remix,
The Freaks Come Out (Haji & Emanuel Remix),Cevin Fisher,8:47:05 PM,8:53:42 PM,0:06:37,2,,126,F#m,,House,,The Freaks Come Out (Haji & Emanuel Remix),The Freaks Come Out 2006 Pt.2
Let Me Clear My Throat - Mario Saint Remix,DJ Kool,8:51:09 PM,8:53:42 PM,0:02:33,1,,126,Fm,2020,House,,Let Me Clear My Throat - Mario Saint Remix,
