"name","artist","start time","end time","playtime","deck","","bpm","key","year","genre","bitrate","song","album"
"Brazilian Love Song","Keys N Krates","7:21:18 PM","7:26:44 PM","00:05:26","2","","127","Am","2021","House","","Brazilian Love Song",""
"Dove (Mixshow Edit)","Moony","7:24:27 PM","7:29:29 PM","00:05:02","1","","127","Bm","","Other","","Dove (Mixshow Edit)","Mixshow Edit"
"Make Luv (Extended Mix)","Room 5","7:27:49 PM","7:31:03 PM","00:03:14","2","","125","Fm","2003","Progressive House","","Make Luv (Extended Mix)",""
"Waterman (MCB Short Edit)","Olav Basoski (feat Michie One)","7:29:29 PM","7:34:42 PM","00:05:13","1","","126","Am","2004","Other","","Waterman (MCB Short Edit)",""
"Understand This Groove (Edit)","Sound Factory","7:31:05 PM","7:38:26 PM","00:07:21","2","","128","G#m","1992","Other","","Understand This Groove (Edit)","Dance Classics - v1"
"Dancing (JJ Flores & Steve Smooth Remix)","Aaron Smith Feat. Luvli","7:36:33 PM","7:42:18 PM","00:05:45","1","","131","C#m","2006","Trance","","Dancing (JJ Flores & Steve Smooth Remix)","Nu Dance 111"
"Let's Get Bleeped Tonight - Tiesto Remix","Dada Life","7:38:50 PM","7:45:57 PM","00:07:07","2","","132","Gm","2009","Trance","","Let's Get Bleeped Tonight - Tiesto Remix","Let's Get Bleeped Tonight"
"Pumpin' (MCB Edit)","Novy vs Eniac","7:42:18 PM","7:46:53 PM","00:04:35","1","","131","F#m","2000","Electro House","","Pumpin' (MCB Edit)",""
"Deep Inside - Smilez & Rich Tanner Remix","Hardrive","7:45:57 PM","7:50:08 PM","00:04:11","2","","130","Dm","2021","House","","Deep Inside - Smilez & Rich Tanner Remix",""
"Let Me Think About It - Rudeejay & Da Brozz 2016 Remix","Ida Corr vs Fedde Le Grand","7:47:59 PM","7:53:24 PM","00:05:25","1","","128","Fm","","Other","","Let Me Think About It - Rudeejay & Da Brozz 2016 Remix",""
"Better Off Alone - Josh Hunter Remix","Alice Deejay","7:50:08 PM","8:03:38 PM","00:13:30","2","","130","B","1999","Other","","Better Off Alone - Josh Hunter Remix",""
"Up To No Good (Original Mix) (XMiX Edit)","Roger-M","7:54:58 PM","8:03:38 PM","00:08:40","1","","125","Gm","2020","Dance","","Up To No Good (Original Mix) (XMiX Edit)","XMiX Dance Series 247 (Jan 2020)"
