"name","artist","start time","end time","playtime","deck","","song","bpm","key","year","genre"
"Snitches Ain't (Intro - Dirty)","YG ft Snoop Dogg","9:52:18 PM","9:54:26 PM","00:02:08","1","","Snitches Ain't (Intro - Dirty)","92","Bbm","","Other"
"How Do You Want It (Love City DJs Edit) (Intro - Clean)","2Pac (feat K-Ci & JoJo)","9:53:06 PM","9:55:46 PM","00:02:40","2","","How Do You Want It (Love City DJs Edit) (Intro - Clean)","93","Ebm","1995","Hip-Hop - West Coast"
"Vapors (LNRP Mixshow Edit) (Clean)","Biz Markie","9:54:26 PM","9:56:41 PM","00:02:15","1","","Vapors (LNRP Mixshow Edit) (Clean)","93","Gm","1992","Other"
"Potholes In My Lawn","De La Soul","9:55:46 PM","9:57:06 PM","00:01:20","2","","Potholes In My Lawn","93","Em","2003","Rap"
"Get Up!","DJU DJU","9:56:41 PM","9:59:42 PM","00:03:01","1","","Get Up!","93","E","2020",""
"Get Up!","DJU DJU","9:57:06 PM","9:57:54 PM","00:00:48","2","","Get Up!","93","E","2020",""
"Get Up!","DJU DJU","9:57:54 PM","9:58:21 PM","00:00:27","2","","Get Up!","93","E","2020",""
"Nice For What (PopRoXxX Intro Edit)","Drake","9:58:24 PM","10:00:42 PM","00:02:18","2","","Nice For What (PopRoXxX Intro Edit)","93","Bbm","2018","Hip-Hop"
"Work Out (MCB Clean Edit Short)","J Cole","9:59:49 PM","10:01:59 PM","00:02:10","1","","Work Out (MCB Clean Edit Short)","93","Am","","Other"
"Whatcha Gonna Do (LNRP Mixshow Edit) (Clean)","Jayo Felony","10:00:42 PM","10:03:23 PM","00:02:41","2","","Whatcha Gonna Do (LNRP Mixshow Edit) (Clean)","93","Ebm","1998","Rap"
"The Most Beautifullest Thing In This World (LNRP Mixshow Edit) (Dirty)","Keith Murray","10:01:59 PM","10:04:30 PM","00:02:31","1","","The Most Beautifullest Thing In This World (LNRP Mixshow Edit) (Dirty)","93","Em","1995","Other"
"Cold Rock A Party (Bad Boy Remix) (LNRP Mixshow Edit) (Clean)","MC Lyte","10:03:23 PM","10:05:15 PM","00:01:52","2","","Cold Rock A Party (Bad Boy Remix) (LNRP Mixshow Edit) (Clean)","93","Cm","1996","Rap"
"On The Hotline (LNRP Mixshow Edit) (Clean)","Pretty Ricky","10:04:30 PM","10:06:14 PM","00:01:44","1","","On The Hotline (LNRP Mixshow Edit) (Clean)","93","Bbm","2006","Old School"
"Shut Em Down (LNRP Mixshow Edit) (Clean)","Public Enemy","10:05:15 PM","10:21:51 PM","00:16:36","2","","Shut Em Down (LNRP Mixshow Edit) (Clean)","93","G#m","1991","Other"
"When I See You Smile (Nick Bike Edit)","Singing Sweet","10:06:14 PM","10:06:29 PM","00:00:15","1","","When I See You Smile (Nick Bike Edit)","93","B","",""
"Tainted (LNRP Mixshow Edit) (Clean)","Slum Village feat Dwele","10:06:29 PM","10:21:51 PM","00:15:22","1","","Tainted (LNRP Mixshow Edit) (Clean)","93","F#m","2002","Old School"
