"name","artist","start time","end time","playtime","deck","","song","bpm","key","year","genre"
"Fire for You (Tiesto Remix)","Cannons","7:38:57 PM","7:43:00 PM","00:04:03","1","","Fire for You (Tiesto Remix)","122","Bm","2021","Dance"
"The Drums (Din Daa Daa) feat. George Kranz (Dennis Cruz Remix)","Claptone","7:40:28 PM","7:45:02 PM","00:04:34","2","","The Drums (Din Daa Daa) feat. George Kranz (Dennis Cruz Remix)","122","Em","2017","Tech House"
"Can U Feel It (MCB Edit)","CLS","7:43:00 PM","7:46:09 PM","00:03:09","1","","Can U Feel It (MCB Edit)","122","Em","","House"
"Fill Me In - Paul Byrne Deep House Remix","Craig David ","7:45:10 PM","7:48:57 PM","00:03:47","2","","Fill Me In - Paul Byrne Deep House Remix","122","Gm","",""
"Million Dollar Bill (Cutso Hype Edit)","Cutso","7:46:12 PM","7:50:15 PM","00:04:03","1","","Million Dollar Bill (Cutso Hype Edit)","122","F#m","2020",""
"You (Extended Mix)","Dom Dolla","7:48:57 PM","7:51:54 PM","00:02:57","2","","You (Extended Mix)","122","Am","2016-09-16","Dance / Electro Pop"
"Party Up (Up In Here) - James Hype VIP (Intro - Clean)","DMX","7:50:15 PM","7:55:00 PM","00:04:45","1","","Party Up (Up In Here) - James Hype VIP (Intro - Clean)","122","9m","2019","House"
"September (Throttle Remix)","Earth Wind & Fire","7:53:09 PM","7:53:40 PM","00:00:31","2","","September (Throttle Remix)","122","F#m","2015","Other"
"Sunshine (The Light) (The Scene Kings Remix)","Fat Joe, DJ Khaled & Amorphous","7:53:52 PM","7:57:16 PM","00:03:24","2","","Sunshine (The Light) (The Scene Kings Remix)","122","Dm","2021","Urban"
"The Scene (Original Mix)","Friend Within","7:55:45 PM","8:02:38 PM","00:06:53","1","","The Scene (Original Mix)","122","Ebm","2013","House"
"I'll House You - HUNDRD PCT Remix","Jungle Brothers","7:59:04 PM","8:04:43 PM","00:05:39","2","","I'll House You - HUNDRD PCT Remix","122","Bm","2021","House"
"Neighborhood","Magic Flowers","8:03:10 PM","8:06:32 PM","00:03:22","1","","Neighborhood","122","Fm","2020",""
"Yeke Yeke - Elektrokid UK House Remix","Mory Kante","8:04:43 PM","8:11:28 PM","00:06:45","2","","Yeke Yeke - Elektrokid UK House Remix","122","Fm","",""
